Año,Dia,Estado,Fecha,Fecha de corte,Mes,Motivo,Número de registros (agrupación),Orden de trabajo generada,Responsable,Situación reportada,Tipo de servicio,Demora en respuesta,Latitud,Longitud,Número,Número de registros
2021,sábado,Cancelado,02/01/2021 09:05,03/01/2021 19:17,enero,Plantas: daños o vandalismo,1,SI,SOFIA MARTINEZ,Animales no domésticos: crianza inadecuada,Zoonosis,1,-36.893.818,-6.032.077,10286,
2021,lunes,Finalizado,04/01/2021 08:10,26/01/2021 09:55,enero,Recolección de residuos domiliciarios: no hay recolección,1,SI,EMANUEL LAPORTILLA,Recolección de residuos domiliciarios: no hay recolección,Higiene y control urbano - Dir. de Contralor de Servicio,22,-36.882.671,-60.302.082,10287,
2021,lunes,Finalizado,04/01/2021 08:38,02/02/2022 11:49,enero,Plantas: caídas o con inclinación peligrosa,1,SI,FEDERICO VIDAL,Plantas: caídas o con inclinación peligrosa,"Parques, plazas y espacios públicos - Dirección de Espacios Verdes",394,-36.900.345,-60.332.249,10288,
2021,lunes,Finalizado,04/01/2021 11:22,06/08/2021 08:33,enero,Calidad de alimentos: corte de cadena de frío,1,SI,SOFIA MARTINEZ,Calidad de alimentos: corte de cadena de frío,Habilitaciones - Dir. de Bromatologia,214,-36.905.907,-60.327.469,10289,
2021,lunes,Finalizado,04/01/2021 13:26,05/08/2021 09:39,enero,Higiene y limpieza comercial,1,SI,SOFIA MARTINEZ,Higiene y limpieza comercial,Habilitaciones - Dir. de Bromatologia,213,-3.689.867,-60.319.969,10290,
2021,lunes,Finalizado,04/01/2021 13:57,02/02/2021 08:51,enero,Recolección de residuos domiliciarios: no hay recolección,1,SI,EMANUEL LAPORTILLA,Recolección de residuos domiliciarios: no hay recolección,Higiene y control urbano - Dir. de Contralor de Servicio,29,-36.916.874,-6.031.332,10291,
2021,martes,Finalizado,05/01/2021 12:05,18/02/2021 07:43,enero,Malezas o basura acumulada: en espacio público (veredas),1,NO,AXEL PORCEL,Malezas o basura acumulada: en espacio público (veredas),Higiene y control urbano - Dir. de Control Urbano,44,-36.881.065,-60.329.861,10292,
2021,miércoles,Finalizado,06/01/2021 13:24,19/01/2021 09:18,enero,En estado o inclinación peligrosa: postes (Telefonica),1,NO,ADRIAN GUEVARA,En estado o inclinación peligrosa: postes (Telefonica),Higiene y control urbano - Defensa Civil,13,-36.898.663,-6.031.834,10293,
2021,miércoles,Finalizado,06/01/2021 13:34,02/08/2021 14:43,enero,En estado o inclinación peligrosa: postes (Coopelectric),1,NO,ADRIAN GUEVARA,En estado o inclinación peligrosa: postes (Coopelectric),Higiene y control urbano - Defensa Civil,208,-36.906.998,-60.332.741,10294,
2021,jueves,Finalizado,07/01/2021 09:56,10/02/2021 10:29,enero,En estado o inclinación peligrosa: postes (Telefonica),1,NO,ADRIAN GUEVARA,En estado o inclinación peligrosa: postes (Telefonica),Higiene y control urbano - Defensa Civil,34,-36.903.854,-60.315.166,10295,
2021,jueves,En proceso de resolución de revisión,07/01/2021 10:31,06/02/2021 10:31,enero,Vialidad,1,NO,GUSTAVO SPALTRO,Reductor de velocidad: solicitar nuevo,Vialidad - Dir. de Control Urbano,30,-36.903.336,-60.307.411,10296,
2021,jueves,Finalizado,07/01/2021 10:53,24/01/2022 12:01,enero,Animales domésticos: sueltos en la via pública,1,SI,SOFIA MARTINEZ,Animales domésticos: sueltos en la via pública,Veterinaria - Dir. de Bromatologia,382,-36.892.494,-60.320.728,10297,
2021,viernes,Finalizado,08/01/2021 10:21,06/08/2021 08:42,enero,Higiene y limpieza comercial,1,SI,SOFIA MARTINEZ,Higiene y limpieza comercial,Habilitaciones - Dir. de Bromatologia,210,-36.922.745,-60.316.914,10298,
2021,viernes,Finalizado,08/01/2021 10:30,02/02/2022 11:50,enero,Plantas: caídas o con inclinación peligrosa,1,SI,FEDERICO VIDAL,Plantas: caídas o con inclinación peligrosa,"Parques, plazas y espacios públicos - Dirección de Espacios Verdes",390,-36.899.067,-6.032.251,10299,
2021,viernes,Finalizado,08/01/2021 10:56,26/01/2021 09:49,enero,Barrido domiciliario: deficiente,1,SI,EMANUEL LAPORTILLA,Barrido domiciliario: deficiente,Higiene y control urbano - Dir. de Contralor de Servicio,18,-36.896.122,-60.318.459,10300,
2021,viernes,Cancelado,08/01/2021 11:44,08/01/2021 12:12,enero,Plantas: daños o vandalismo,1,SI,ANA GEOGHEGAN,Plantas: daños o vandalismo,"Parques, plazas y espacios públicos",0,-3.688.311,-6.030.225,10301,
2021,viernes,En proceso de resolución de revisión,08/01/2021 13:19,08/05/2021 13:19,enero,Higiene y control urbano,1,NO,AXEL PORCEL,Malezas o basura acumulada: en espacio público (veredas de terrenos cerrados),Higiene y control urbano - Dir. de Catastro,120,-36.897.381,-60.346.508,10302,
2021,lunes,Finalizado,11/01/2021 12:35,17/03/2021 10:08,enero,Reductor de velocidad: solicitar nuevo,1,SI,JULIO FERRARO,Reductor de velocidad: solicitar nuevo,Vialidad - Dir. de Control Urbano,65,-36.872.066,-60.321.945,10304,
2021,lunes,Finalizado,11/01/2021 13:03,22/01/2021 11:21,enero,Señalización vial: solicitar nueva,1,NO,GUSTAVO SPALTRO,Señalización vial: solicitar nueva,Vialidad - Dir. de Control Urbano,11,-36.907.219,-60.327.606,10305,
2021,lunes,Cancelado,11/01/2021 13:11,11/01/2021 13:29,enero,Recolección de residuos inertes (escombros / poda / montículos),1,SI,MODERADORES,Recolección de residuos inertes (escombros / poda / montículos),Higiene y control urbano,0,-36.881.035,-60.331.509,10306,
2021,lunes,En proceso de resolución de revisión,11/01/2021 13:29,10/02/2021 13:29,enero,Vialidad,1,NO,GUSTAVO SPALTRO,Reductor de velocidad: solicitar nuevo,Vialidad - Dir. de Control Urbano,30,-36.941.822,-60.278.305,10307,
2021,lunes,En proceso de resolución de revisión,11/01/2021 20:26,26/01/2021 10:42,enero,Obras públicas,1,NO,FABIAN RUBARE,Iluminación: lámpara sin funcionamiento o deficiente,Obras públicas - Dir. de Desarrollo Urbano,15,-36.923.187,-60.292.095,10303,
2021,martes,Finalizado,12/01/2021 09:54,12/01/2021 11:51,enero,Agua: arrojo de aguas servidas domiciliarias a la via pública,1,SI,GUSTAVO SPALTRO,Agua: arrojo de aguas servidas domiciliarias a la via pública,Control ambiental - Dir. de Control Urbano,0,-36.912.148,-60.317.814,10308,
