Año,Mes,Tipo de servicio,LAT,LNG,Situacion,Reporte
2022,enero,Higiene y control urbano,-36.883,-60.302,Recolección de residuos domiciliarios,Recolección deficiente
2022,enero,Higiene y control urbano,-36.879,-60.311,Malezas o basura acumulada,En espacio privado (baldío abierto)
2022,enero,Higiene y control urbano,-36.904,-60.355,Malezas o basura acumulada,En espacio público (veredas)
2022,enero,Higiene y control urbano,-36.899,-60.302,Malezas o basura acumulada,En espacio público (veredas)
2022,enero,Higiene y control urbano,-36.899,-60.321,Malezas o basura acumulada,En espacio público (veredas de terrenos cerrados)
2022,enero,Higiene y control urbano,-36.879,-60.318,Malezas o basura acumulada,En espacio privado (baldío abierto)
2022,enero,Higiene y control urbano,-36.894,-60.340,Recolección de residuos domiciliarios,No hay recolección
2022,enero,Zoonosis,-36.920,-60.290,Animales domésticos,Sueltos en la via pública
2022,enero,"Parques, plazas y espacios públicos",-36.878,-60.342,Otros,Otra situación no contemplada
2022,enero,Zoonosis,-36.912,-60.324,Animales domésticos,Sueltos en la via pública
2022,enero,Tránsito,-36.889,-60.304,Estacionamiento,Vehículos estacionados en lugar no permitido
2022,enero,Hospitales y centros periféricos de salud,-36.884,-60.312,Otros,Otra situación no contemplada
2022,enero,Higiene y control urbano,-36.846,-60.242,Malezas o basura acumulada,En espacio privado (baldío abierto)
2022,enero,Zoonosis,-36.868,-60.160,Animales domésticos,Sueltos en la via pública
2022,enero,Control ambiental,-36.926,-60.318,Olores y humos,En actividad agropecuaria
2022,enero,Control ambiental,-36.859,-60.160,Olores y humos,En actividad agropecuaria
2022,enero,Higiene y control urbano,-36.857,-60.164,Malezas o basura acumulada,En espacio público (veredas)
2022,enero,Higiene y control urbano,-36.846,-60.242,Malezas o basura acumulada,En espacio privado (baldío abierto)
2022,enero,Control ambiental,-36.924,-60.317,Olores y humos,En actividad agropecuaria
2022,enero,Higiene y control urbano,-36.941,-60.157,Malezas o basura acumulada,En espacio público (veredas)
2022,enero,Higiene y control urbano,-36.885,-60.302,Recolección de residuos domiciliarios,No hay recolección
2022,enero,Obras públicas,-36.885,-60.302,Agua,Rotura de caño
2022,enero,Obras públicas,-36.882,-60.322,Calles urbanas,"Calzada asfáltica rota, hundida o levantada"
2022,enero,Zoonosis,-36.900,-60.332,Animales domésticos,Sueltos en la via pública
2022,enero,Higiene y control urbano,-36.896,-60.319,Otros,Otra situación no contemplada
2022,enero,Higiene y control urbano,-36.903,-60.296,Malezas o basura acumulada,En espacio privado (baldío abierto)
2022,enero,Habilitaciones,-36.933,-60.158,Comercios,Falta de habilitación
2022,enero,Obras públicas,-36.889,-60.339,Nomenclador de calles,Solicitar nuevo o reposición
2022,enero,Zoonosis,-36.910,-60.323,Control de plagas / fumigación,Roedores
2022,enero,Higiene y control urbano,-36.913,-60.323,Malezas o basura acumulada,En espacio privado (baldío abierto)
2022,enero,Higiene y control urbano,-36.902,-60.332,Recolección de residuos domiciliarios,No hay recolección
2022,enero,Hospitales y centros periféricos de salud,-36.846,-60.232,Otros,Otra situación no contemplada
2022,enero,Hospitales y centros periféricos de salud,-36.884,-60.312,Otros,Otra situación no contemplada
2022,enero,Obras públicas,-36.900,-60.328,Calles urbanas,"Calzada asfáltica rota, hundida o levantada"
2022,enero,Higiene y control urbano,-36.893,-60.315,Malezas o basura acumulada,En espacio público (veredas)
2022,enero,Zoonosis,-36.909,-60.292,Control de plagas / fumigación,Insectos varios
2022,enero,Habilitaciones,-36.945,-60.157,Comercios,Falta de habilitación
2022,enero,Habilitaciones,-36.937,-60.153,Comercios,Falta de habilitación
2022,enero,Obras públicas,-36.880,-60.307,Cloacas,Pedido de ampliación de red
2022,enero,Obras públicas,-36.885,-60.297,Calles urbanas,Pedido de pavimentación de calzada
2022,enero,Zoonosis,-36.927,-60.315,Animales domésticos,Sanitariamente descuidados
2022,enero,"Parques, plazas y espacios públicos",-36.914,-60.325,Césped,Con falta de mantenimiento o riego
2022,enero,Higiene y control urbano,-36.916,-60.323,Malezas o basura acumulada,En espacio público (veredas)
2022,enero,Higiene y control urbano,-36.885,-60.322,Barrido domiciliario,No hay barrido
2022,enero,Zoonosis,-36.875,-60.314,Control de plagas / fumigación,Roedores
2022,enero,Higiene y control urbano,-36.908,-60.331,Recolección de residuos domiciliarios,No hay recolección
2022,enero,GIRO,-36.908,-60.331,Otros,Otra situación no contemplada
2022,enero,"Parques, plazas y espacios públicos",-36.902,-60.340,Césped,Con falta de mantenimiento o riego
2022,enero,Higiene y control urbano,-36.926,-60.313,Malezas o basura acumulada,En espacio público (veredas)
2022,enero,Control ambiental,-36.910,-60.323,Comercios,Arrojo a la vía pública
2022,enero,Higiene y control urbano,-36.884,-60.340,Malezas o basura acumulada,En espacio público (veredas)
2022,enero,"Parques, plazas y espacios públicos",-36.893,-60.322,Césped,Con falta de mantenimiento o riego
2022,enero,Zoonosis,-36.910,-60.325,Control de plagas / fumigación,Roedores
2022,enero,Árboles en la vía pública,-36.888,-60.319,Arbolado,Pedido de poda en vía pública
2022,enero,Control ambiental,-36.916,-60.312,Agua,Arrojo de aguas servidas domiciliarias a la via pública
2022,enero,Zoonosis,-36.908,-60.326,Animales domésticos,Sueltos en la via pública
2022,enero,Zoonosis,-36.930,-60.161,Control de plagas / fumigación,Roedores
2022,enero,Tránsito,-36.895,-60.339,Estacionamiento,Vehículos estacionados en lugar no permitido
2022,enero,Zoonosis,-36.876,-60.331,Animales domésticos,Sanitariamente descuidados
2022,enero,Obras públicas,-36.893,-60.352,Calles urbanas,Calzada de tierra con baches
2022,enero,Higiene y control urbano,-36.928,-60.295,Malezas o basura acumulada,En espacio privado (baldío abierto)
2022,enero,Obras particulares,-36.911,-60.295,Obra en construcción,Invasión de propiedad privada o vía pública
2022,enero,Vialidad,-36.932,-60.165,Reductor de velocidad,Solicitar nuevo
2022,enero,Higiene y control urbano,-36.886,-60.310,Malezas o basura acumulada,En espacio privado (casa abandonada)
2022,enero,"Parques, plazas y espacios públicos",-36.914,-60.327,Otros,Otra situación no contemplada
2022,enero,Higiene y control urbano,-36.880,-60.328,Recolección de residuos domiciliarios,No hay recolección
2022,enero,Tránsito,-36.886,-60.311,Otros,Otra situación no contemplada
2022,enero,Obras públicas,-36.888,-60.305,Otros,Otra situación no contemplada
2022,enero,Zoonosis,-36.879,-60.180,Animales domésticos,Denunciar mordeduras
2022,enero,Higiene y control urbano,-36.881,-60.176,Malezas o basura acumulada,En espacio privado (casa abandonada)
2022,enero,Vialidad,-36.876,-60.343,Reductor de velocidad,Solicitar nuevo
2022,enero,Obras públicas,-36.891,-60.315,Hidráulica,Limpieza de boca de tormenta
2022,enero,Obras públicas,-36.893,-60.315,Hidráulica,Limpieza de boca de tormenta
2022,enero,Higiene y control urbano,-36.892,-60.333,Recolección de residuos domiciliarios,Recolectores ensucian la vía pública
2022,enero,Control ambiental,-36.920,-60.305,Agua,Arrojo de aguas servidas domiciliarias a la via pública
2022,enero,Higiene y control urbano,-36.920,-60.305,Recolección de residuos domiciliarios,No hay recolección
2022,enero,Higiene y control urbano,-36.916,-60.322,Malezas o basura acumulada,En espacio privado (baldío abierto)
2022,enero,Higiene y control urbano,-36.902,-60.295,Malezas o basura acumulada,En espacio público (veredas de terrenos cerrados)
2022,enero,Zoonosis,-36.876,-60.332,Animales no domésticos,Crianza inadecuada
2022,enero,Higiene y control urbano,-36.879,-60.329,En estado o inclinación peligrosa,Postes (coopelectric)
2022,enero,Zoonosis,-36.879,-60.180,Animales domésticos,Denunciar mordeduras
2022,enero,Zoonosis,-36.908,-60.310,Animales domésticos,Sanitariamente descuidados
2022,enero,Habilitaciones,-36.929,-60.294,Comercios,Higiene y limpieza comercial
2022,enero,Habilitaciones,-36.921,-60.298,Calidad de alimentos,Venta de alimentos con fecha caducada
2022,enero,Vialidad,-36.884,-60.313,Rampa accesibilidad,Obstruida o dañada
2022,enero,Higiene y control urbano,-36.920,-60.292,Recolección de residuos domiciliarios,No hay recolección
2022,enero,Higiene y control urbano,-36.894,-60.317,Recolección de residuos domiciliarios,No hay recolección
2022,enero,Atención del personal municipal,-36.895,-60.313,Otros,Otra situación no contemplada
2022,enero,Zoonosis,-36.934,-60.159,Animales domésticos,Sanitariamente descuidados
2022,enero,Higiene y control urbano,-36.907,-60.328,Malezas o basura acumulada,En espacio público (veredas)
2022,enero,Higiene y control urbano,-36.906,-60.321,Recolección de residuos domiciliarios,Recolección deficiente
2022,enero,Higiene y control urbano,-36.945,-60.266,Malezas o basura acumulada,En espacio privado (baldío abierto)
2022,enero,Obras públicas,-36.886,-60.309,Calles urbanas,Cordón cuneta dañado
2022,enero,Higiene y control urbano,-36.886,-60.310,Malezas o basura acumulada,En espacio público (veredas)
2022,enero,Obras públicas,-36.886,-60.358,Calles urbanas,Calzada de tierra con baches
2022,enero,Obras públicas,-36.879,-60.328,Calles urbanas,"Calzada asfáltica rota, hundida o levantada"
2022,enero,Higiene y control urbano,-36.887,-60.341,Malezas o basura acumulada,En espacio público (veredas)
2022,enero,Zoonosis,-36.895,-60.339,Otros,Otra situación no contemplada
2022,enero,Higiene y control urbano,-36.891,-60.322,Recolección de residuos domiciliarios,No hay recolección
2022,enero,Higiene y control urbano,-36.905,-60.327,Recolección de residuos domiciliarios,No hay recolección
2022,enero,Zoonosis,-36.908,-60.324,Animales domésticos,Sanitariamente descuidados
2022,enero,Higiene y control urbano,-36.926,-60.294,Malezas o basura acumulada,En espacio privado (baldío abierto)
2022,enero,"Parques, plazas y espacios públicos",-36.893,-60.328,Mobiliario,Pedido de cesto de basura
2022,enero,Zoonosis,-36.906,-60.343,Animales domésticos,Denunciar mordeduras
2022,enero,Higiene y control urbano,-36.900,-60.320,Recolección de residuos domiciliarios,No hay recolección
2022,enero,Zoonosis,-36.894,-60.296,Control de plagas / fumigación,Roedores
2022,enero,Zoonosis,-36.920,-60.290,Animales domésticos,Sueltos en la via pública
2022,enero,Higiene y control urbano,-36.888,-60.325,Barrido domiciliario,Deficiente
2022,enero,Árboles en la vía pública,-36.891,-60.323,Arbolado,Pedido de extracción en via pública
2022,enero,Tránsito,-36.889,-60.324,Otros,Otra situación no contemplada
2022,enero,Higiene y control urbano,-36.868,-60.157,Malezas o basura acumulada,En espacio privado (baldío abierto)
2022,enero,Zoonosis,-36.868,-60.157,Control de plagas / fumigación,Roedores
2022,enero,Higiene y control urbano,-36.920,-60.292,Recolección de residuos domiciliarios,No hay recolección
2022,enero,Obras públicas,-36.883,-60.341,Calles urbanas,Pedido de camión regador
2022,enero,Control ambiental,-36.883,-60.341,Olores y humos,En una industria
2022,enero,Higiene y control urbano,-36.944,-60.272,Recolección de residuos domiciliarios,No hay recolección
2022,enero,Higiene y control urbano,-36.921,-60.309,Malezas o basura acumulada,En espacio privado (baldío abierto)
2022,enero,Habilitaciones,-36.900,-60.333,Comercios,Higiene y limpieza comercial
2022,enero,Higiene y control urbano,-36.906,-60.321,Cestos públicos,Recolección deficiente
2022,enero,Tránsito,-36.885,-60.329,Estacionamiento,Vehículos abandonados
2022,enero,Zoonosis,-36.871,-60.323,Animales domésticos,Sanitariamente descuidados
2022,enero,Higiene y control urbano,-36.886,-60.310,Malezas o basura acumulada,En espacio público (veredas)
2022,enero,"Parques, plazas y espacios públicos",-36.901,-60.340,Césped,Con falta de mantenimiento o riego
2022,enero,"Parques, plazas y espacios públicos",-36.885,-60.300,Césped,Con falta de mantenimiento o riego
2022,enero,Higiene y control urbano,-36.905,-60.319,En estado o inclinación peligrosa,Carteles y marquesinas
