Año,Mes,Tipo de servicio,LAT,LNG,Situacion,Reporte
2021,enero,Zoonosis,-36.893,-60.320,Animales no domésticos,Crianza inadecuada
2021,enero,Higiene y control urbano,-36.882,-60.302,Recolección de residuos domiciliarios,No hay recolección
2021,enero,"Parques, plazas y espacios públicos",-36.900,-60.332,En estado o inclinación peligrosa ,Árboles
2021,enero,Habilitaciones,-36.905,-60.327,Calidad de alimentos,Corte de cadena de frío
2021,enero,Habilitaciones,-36.898,-60.319,Comercios,Higiene y limpieza comercial
2021,enero,Higiene y control urbano,-36.916,-60.313,Recolección de residuos domiciliarios,No hay recolección
2021,enero,Higiene y control urbano,-36.881,-60.329,Malezas o basura acumulada,En espacio público (veredas)
2021,enero,Higiene y control urbano,-36.898,-60.318,En estado o inclinación peligrosa,Postes (telefonica)
2021,enero,Higiene y control urbano,-36.906,-60.332,En estado o inclinación peligrosa,Postes (coopelectric)
2021,enero,Higiene y control urbano,-36.903,-60.315,En estado o inclinación peligrosa,Postes (telefonica)
2021,enero,Vialidad,-36.903,-60.307,Reductor de velocidad,Solicitar nuevo
2021,enero,Zoonosis,-36.892,-60.320,Animales domésticos,Sueltos en la via pública
2021,enero,Habilitaciones,-36.922,-60.316,Comercios,Higiene y limpieza comercial
2021,enero,"Parques, plazas y espacios públicos",-36.899,-60.322,En estado o inclinación peligrosa ,Árboles
2021,enero,Higiene y control urbano,-36.896,-60.318,Barrido domiciliario,Deficiente
2021,enero,"Parques, plazas y espacios públicos",-36.883,-60.302,Plantas,Daños o vandalismo
2021,enero,Higiene y control urbano,-36.897,-60.346,Malezas o basura acumulada,En espacio público (veredas de terrenos cerrados)
2021,enero,Vialidad,-36.872,-60.321,Reductor de velocidad,Solicitar nuevo
2021,enero,Vialidad,-36.907,-60.327,Señalización vial,Solicitar nueva
2021,enero,Higiene y control urbano,-36.881,-60.331,Recolección de residuos no domiciliarios,Recolección de residuos inertes (escombros / poda / montículos)
2021,enero,Vialidad,-36.941,-60.278,Reductor de velocidad,Solicitar nuevo
2021,enero,Obras públicas,-36.923,-60.292,Iluminación,Lámpara sin funcionamiento o deficiente
2021,enero,Control ambiental,-36.912,-60.317,Agua,Arrojo de aguas servidas domiciliarias a la via pública
2021,enero,Otros servicios no contemplados,-36.895,-60.303,Otros,Otra situación no contemplada
2021,enero,Tránsito,-36.885,-60.331,Estacionamiento,Vehículos estacionados en lugar no permitido
2021,enero,Higiene y control urbano,-36.888,-60.325,Recolección de residuos domiciliarios,No hay recolección
2021,enero,Higiene y control urbano,-36.903,-60.314,En estado o inclinación peligrosa,Postes (telefonica)
2021,enero,Higiene y control urbano,-36.882,-60.303,Malezas o basura acumulada,En espacio privado (baldío abierto)
2021,enero,Higiene y control urbano,-36.888,-60.300,En estado o inclinación peligrosa,Árboles
2021,enero,Higiene y control urbano,-36.897,-60.323,Otros,Derrames en vía pública
2021,enero,"Parques, plazas y espacios públicos",-36.876,-60.327,Césped,Con falta de mantenimiento o riego
2021,enero,Vialidad,-36.904,-60.306,Reductor de velocidad,Solicitar nuevo
2021,enero,Higiene y control urbano,-36.919,-60.298,Recolección de residuos domiciliarios,No hay recolección
2021,enero,Atención del personal municipal,-36.880,-60.319,Otros,Otra situación no contemplada
2021,enero,"Parques, plazas y espacios públicos",-36.920,-60.295,En estado o inclinación peligrosa ,Árboles
2021,enero,Higiene y control urbano,-36.920,-60.295,En estado o inclinación peligrosa,Árboles
2021,enero,Tránsito,-36.875,-60.323,Estacionamiento,Vehículos abandonados
2021,enero,Higiene y control urbano,-36.902,-60.318,Barrido domiciliario,No hay barrido
2021,enero,Obras públicas,-36.849,-60.297,Calles urbanas,Pedido de camión regador
2021,enero,Zoonosis,-36.875,-60.324,Animales domésticos,Sueltos en la via pública
2021,enero,Habilitaciones,-36.888,-60.279,Comercios,Falta de habilitación
2021,enero,Otros servicios no contemplados,-36.904,-60.335,Otros,No tengo claro el servicio destino de mi situación
2021,febrero,"Parques, plazas y espacios públicos",-36.914,-60.283,Veredas y caminos,Rotos o en mal estado
2021,enero,Zoonosis,-36.887,-60.324,Control de plagas / fumigación,Roedores
2021,enero,Higiene y control urbano,-36.898,-60.346,Otros,Derrames en vía pública
2021,enero,Higiene y control urbano,-36.920,-60.324,En estado o inclinación peligrosa,Árboles
2021,enero,Higiene y control urbano,-36.925,-60.318,En estado o inclinación peligrosa,Postes (telefonica)
2021,enero,Higiene y control urbano,-36.908,-60.328,Malezas o basura acumulada,En espacio público (veredas de terrenos cerrados)
2021,enero,Zoonosis,-36.887,-60.324,Control de plagas / fumigación,Roedores
2021,enero,Higiene y control urbano,-36.887,-60.324,Malezas o basura acumulada,En espacio privado (casa abandonada)
2021,enero,Higiene y control urbano,-36.940,-60.274,Recolección de residuos domiciliarios,No hay recolección
2021,enero,Higiene y control urbano,-36.894,-60.339,Malezas o basura acumulada,En espacio público (veredas)
2021,enero,Obras públicas,-36.891,-60.310,Cloacas,Rotura de caño
2021,enero,Obras públicas,-36.890,-60.335,Iluminación,Lámpara sin funcionamiento o deficiente
2021,enero,Higiene y control urbano,-36.881,-60.329,Recolección de residuos no domiciliarios,Recolección de residuos inertes (escombros / poda / montículos)
2021,enero,"Parques, plazas y espacios públicos",-36.918,-60.303,Plantas,Daños o vandalismo
2021,enero,Obras públicas,-36.924,-60.297,Calles urbanas,Pedido de camión regador
2021,enero,Higiene y control urbano,-36.897,-60.320,Recolección de residuos no domiciliarios,Recolección de residuos inertes (escombros / poda / montículos)
2021,enero,Zoonosis,-36.912,-60.325,Animales domésticos,Sueltos en la via pública
2021,enero,Higiene y control urbano,-36.898,-60.306,Barrido domiciliario,No hay barrido
2021,enero,Higiene y control urbano,-36.883,-60.303,Malezas o basura acumulada,En espacio privado (baldío abierto)
2021,enero,Higiene y control urbano,-36.896,-60.344,Malezas o basura acumulada,En espacio privado (baldío abierto)
2021,enero,Higiene y control urbano,-36.922,-60.306,Malezas o basura acumulada,En espacio privado (baldío abierto)
2021,enero,Vialidad,-36.922,-60.300,Reductor de velocidad,Solicitar nuevo
2021,enero,"Parques, plazas y espacios públicos",-36.885,-60.300,Césped,Con falta de mantenimiento o riego
2021,enero,Obras públicas,-36.919,-60.315,Calles urbanas,Calzada de tierra con baches
2021,enero,Obras públicas,-36.910,-60.319,Cloacas,Reclamo por obra sin terminar
2021,enero,Tránsito,-36.930,-60.164,Estacionamiento,Vehículos estacionados en lugar no permitido
2021,enero,Tránsito,-36.891,-60.324,Estacionamiento,Vehículos abandonados
2021,enero,Higiene y control urbano,-36.893,-60.287,Malezas o basura acumulada,En espacio privado (baldío abierto)
2021,enero,Habilitaciones,-36.892,-60.320,Calidad de alimentos,Venta de alimentos con fecha caducada
2021,enero,Delegaciones,-36.866,-60.170,Otros,Espacios verdes
2021,enero,Control ambiental,-36.925,-60.315,Ruidos molestos,En domicilio particular
2021,enero,Higiene y control urbano,-36.908,-60.314,Malezas o basura acumulada,En espacio público (veredas de terrenos cerrados)
2021,enero,Zoonosis,-36.909,-60.328,Animales domésticos,Sanitariamente descuidados
2021,enero,Otros servicios no contemplados,-36.909,-60.328,Otros,Otra situación no contemplada
2021,enero,Higiene y control urbano,-36.885,-60.322,Recolección de residuos domiciliarios,No hay recolección
2021,enero,Obras públicas,-36.885,-60.322,Agua,Rotura de caño
2021,enero,Higiene y control urbano,-36.891,-60.306,Recolección de residuos domiciliarios,Recolección deficiente
2021,enero,Tránsito,-36.885,-60.335,Estacionamiento,Vehículos abandonados
2021,enero,Habilitaciones,-36.911,-60.293,Comercios,Falta de habilitación
2021,enero,Higiene y control urbano,-36.926,-60.298,Malezas o basura acumulada,En espacio público (veredas)
2021,enero,Higiene y control urbano,-36.898,-60.306,Barrido domiciliario,No hay barrido
2021,enero,Control ambiental,-36.889,-60.345,Agua,Arrojo de aguas servidas domiciliarias a la via pública
2021,enero,Vialidad,-36.926,-60.301,Reductor de velocidad,Solicitar nuevo
2021,enero,Transporte público,-36.896,-60.300,Otros,Falta de mantenimiento en refugio
2021,enero,Tránsito,-36.913,-60.314,Estacionamiento,Vehículos estacionados en lugar no permitido
2021,enero,Higiene y control urbano,-36.896,-60.318,Barrido domiciliario,Deficiente
2021,enero,Vialidad,-36.893,-60.296,Señalización vial,Solicitar nueva
2021,enero,Vialidad,-36.897,-60.331,Reductor de velocidad,Dañado
2021,enero,Vialidad,-36.920,-60.294,Reductor de velocidad,Solicitar nuevo
